subscription_id,user_id,start_date,end_date,payment_status,auto_renew
1,1,2024-05-14,,Pending,True
2,2,2021-08-27,,Paid,True
3,3,2023-07-24,,Failed,False
4,4,2023-12-23,,Failed,False
5,5,2023-10-30,,Failed,False
6,6,2025-02-11,,Failed,False
7,7,2023-08-26,,Paid,False
8,8,2024-02-10,,Paid,False
9,9,2022-11-27,,Failed,False
10,10,2022-09-03,,Paid,True
11,11,2026-02-21,,Pending,True
12,12,2022-06-21,,Paid,True
13,13,2022-12-21,,Pending,True
14,14,2024-05-31,,Pending,False
15,15,2023-05-26,,Pending,True
16,16,2024-04-30,,Pending,False
17,17,2023-11-03,,Failed,False
18,18,2025-01-19,,Paid,True
19,19,2024-07-07,,Failed,False
20,20,2025-08-31,,Pending,False
21,21,2022-08-18,,Paid,False
22,22,2023-11-18,,Paid,True
23,23,2026-02-26,,Pending,False
24,24,2022-09-22,,Failed,False
25,25,2023-04-23,,Paid,True
26,26,2024-02-04,,Pending,False
27,27,2022-11-27,,Pending,True
28,28,2021-11-09,,Paid,True
29,29,2023-09-20,,Failed,False
30,30,2021-12-20,,Paid,False
31,31,2023-05-04,,Paid,False
32,32,2021-11-11,,Paid,True
33,33,2022-11-24,,Pending,True
34,34,2025-10-05,,Failed,True
35,35,2022-07-20,,Pending,True
36,36,2023-07-25,,Failed,True
37,37,2026-01-22,,Pending,False
38,38,2026-06-19,,Paid,True
39,39,2023-08-23,,Paid,False
40,40,2022-10-06,,Pending,True
41,41,2024-08-24,,Pending,True
42,42,2026-02-16,,Pending,False
43,43,2021-12-27,,Failed,False
44,44,2022-09-19,,Paid,False
45,45,2022-07-09,,Paid,False
46,46,2025-01-08,,Paid,False
47,47,2021-10-10,,Paid,True
48,48,2024-02-05,,Pending,False
49,49,2026-01-13,,Paid,True
50,50,2022-06-24,,Failed,False
51,51,2023-10-29,,Pending,False
52,52,2026-04-24,,Pending,False
53,53,2024-10-25,,Paid,True
54,54,2021-10-24,,Pending,False
55,55,2022-09-11,,Failed,True
56,56,2024-11-17,,Pending,True
57,57,2023-05-20,,Paid,False
58,58,2026-02-19,,Pending,False
59,59,2025-02-25,,Paid,True
60,60,2026-01-05,,Failed,True
61,61,2022-12-08,,Paid,True
62,62,2021-09-19,,Paid,True
63,63,2025-07-12,,Failed,False
64,64,2024-04-29,,Pending,False
65,65,2025-07-09,,Paid,False
66,66,2025-11-05,,Paid,True
67,67,2025-09-02,,Paid,True
68,68,2024-12-01,,Pending,False
69,69,2021-09-14,,Paid,True
70,70,2024-04-07,,Pending,True
71,71,2022-11-23,,Pending,False
72,72,2022-07-20,,Pending,True
